Open,High,Low,Close,Adj Close,Volume,Ticker,Date
179.17999267578125,182.44000244140625,178.97000122070312,181.82000732421875,181.349365234375,70530000,AAPL,2023-11-07
182.35000610351562,183.4499969482422,181.58999633789062,182.88999938964844,182.41659545898438,49340300,AAPL,2023-11-08
182.9600067138672,184.1199951171875,181.80999755859375,182.41000366210938,181.93783569335938,53763500,AAPL,2023-11-09
183.97000122070312,186.57000732421875,183.52999877929688,186.39999389648438,186.16244506835938,66133400,AAPL,2023-11-10
185.82000732421875,186.02999877929688,184.2100067138672,184.8000030517578,184.5644989013672,43627500,AAPL,2023-11-13
187.6999969482422,188.11000061035156,186.3000030517578,187.44000244140625,187.2011260986328,60108400,AAPL,2023-11-14
187.85000610351562,189.5,187.77999877929688,188.00999450683594,187.7703857421875,53790500,AAPL,2023-11-15
189.57000732421875,190.9600067138672,188.64999389648438,189.7100067138672,189.46824645996094,54412900,AAPL,2023-11-16
190.25,190.3800048828125,188.57000732421875,189.69000244140625,189.44825744628906,50922700,AAPL,2023-11-17
189.88999938964844,191.91000366210938,189.8800048828125,191.4499969482422,191.2060089111328,46505100,AAPL,2023-11-20
191.41000366210938,191.52000427246094,189.74000549316406,190.63999938964844,190.3970489501953,38134500,AAPL,2023-11-21
191.49000549316406,192.92999267578125,190.8300018310547,191.30999755859375,191.06619262695312,39617700,AAPL,2023-11-22
190.8699951171875,190.89999389648438,189.25,189.97000122070312,189.7279052734375,24048300,AAPL,2023-11-24
189.9199981689453,190.6699981689453,188.89999389648438,189.7899932861328,189.54812622070312,40552600,AAPL,2023-11-27
189.77999877929688,191.0800018310547,189.39999389648438,190.39999389648438,190.1573486328125,38415400,AAPL,2023-11-28
190.89999389648438,192.08999633789062,188.97000122070312,189.3699951171875,189.128662109375,43014200,AAPL,2023-11-29
189.83999633789062,190.32000732421875,188.19000244140625,189.9499969482422,189.70791625976562,48794400,AAPL,2023-11-30
190.3300018310547,191.55999755859375,189.22999572753906,191.24000549316406,190.9962921142578,45679300,AAPL,2023-12-01
189.97999572753906,190.0500030517578,187.4499969482422,189.42999267578125,189.18858337402344,43389500,AAPL,2023-12-04
190.2100067138672,194.39999389648438,190.17999267578125,193.4199981689453,193.1735076904297,66628400,AAPL,2023-12-05
194.4499969482422,194.75999450683594,192.11000061035156,192.32000732421875,192.07492065429688,41089700,AAPL,2023-12-06
193.6300048828125,195.0,193.58999633789062,194.27000427246094,194.02243041992188,47477700,AAPL,2023-12-07
194.1999969482422,195.99000549316406,193.6699981689453,195.7100067138672,195.46058654785156,53377300,AAPL,2023-12-08
193.11000061035156,193.49000549316406,191.4199981689453,193.17999267578125,192.93380737304688,60943700,AAPL,2023-12-11
193.0800018310547,194.72000122070312,191.72000122070312,194.7100067138672,194.4618682861328,52696900,AAPL,2023-12-12
195.08999633789062,198.0,194.85000610351562,197.9600067138672,197.7077178955078,70404200,AAPL,2023-12-13
198.02000427246094,199.6199951171875,196.16000366210938,198.11000061035156,197.85752868652344,66831600,AAPL,2023-12-14
197.52999877929688,198.39999389648438,197.0,197.57000732421875,197.31822204589844,128256700,AAPL,2023-12-15
196.08999633789062,196.6300048828125,194.38999938964844,195.88999938964844,195.64035034179688,55751900,AAPL,2023-12-18
196.16000366210938,196.9499969482422,195.88999938964844,196.94000244140625,196.68902587890625,40714100,AAPL,2023-12-19
196.89999389648438,197.67999267578125,194.8300018310547,194.8300018310547,194.5817108154297,52242800,AAPL,2023-12-20
196.10000610351562,197.0800018310547,193.5,194.67999267578125,194.431884765625,46482500,AAPL,2023-12-21
195.17999267578125,195.41000366210938,192.97000122070312,193.60000610351562,193.35328674316406,37122800,AAPL,2023-12-22
193.61000061035156,193.88999938964844,192.8300018310547,193.0500030517578,192.80398559570312,28919300,AAPL,2023-12-26
192.49000549316406,193.5,191.08999633789062,193.14999389648438,192.90383911132812,48087700,AAPL,2023-12-27
194.13999938964844,194.66000366210938,193.1699981689453,193.5800018310547,193.3332977294922,34049900,AAPL,2023-12-28
193.89999389648438,194.39999389648438,191.72999572753906,192.52999877929688,192.28463745117188,42628800,AAPL,2023-12-29
187.14999389648438,188.44000244140625,183.88999938964844,185.63999938964844,185.40341186523438,82488700,AAPL,2024-01-02
184.22000122070312,185.8800048828125,183.42999267578125,184.25,184.01519775390625,58414500,AAPL,2024-01-03
182.14999389648438,183.08999633789062,180.8800048828125,181.91000366210938,181.6781768798828,71983600,AAPL,2024-01-04
181.99000549316406,182.75999450683594,180.1699981689453,181.17999267578125,180.9490966796875,62303300,AAPL,2024-01-05
182.08999633789062,185.60000610351562,181.5,185.55999755859375,185.32351684570312,59144500,AAPL,2024-01-08
183.9199981689453,185.14999389648438,182.72999572753906,185.13999938964844,184.904052734375,42841800,AAPL,2024-01-09
184.35000610351562,186.39999389648438,183.9199981689453,186.19000244140625,185.9527130126953,46792900,AAPL,2024-01-10
186.5399932861328,187.0500030517578,183.6199951171875,185.58999633789062,185.35348510742188,49128400,AAPL,2024-01-11
186.05999755859375,186.74000549316406,185.19000244140625,185.9199981689453,185.6830596923828,40444700,AAPL,2024-01-12
182.16000366210938,184.25999450683594,180.92999267578125,183.6300048828125,183.39598083496094,65603000,AAPL,2024-01-16
